description,amount,direction,category
Housing Society - Order 65320,642.14,debit,Housing
Loan EMI Bank POS 5937,384.72,debit,Loans
Trader Joe's - Order 81582,102.27,debit,Groceries
City Taxi - Order 75916,12.8,debit,Transport
Amazon POS 3165,462.77,debit,Shopping
Gym Membership #5505,110.59,debit,Fitness
ACME Corp Payroll POS 1241,13422.69,credit,Income
Walmart #3863,89.65,debit,Groceries
Walmart #4325,66.7,debit,Groceries
Apple Store - Order 59036,34.35,debit,Shopping
CVS Pharmacy Online,608.0,debit,Medical
Lyft - Order 42472,73.6,debit,Transport
Spotify Online,174.93,debit,Entertainment
Amazon Gifts #1744,39.83,debit,Gifts
Delta Airlines POS 8144,1572.83,debit,Travel
Electric Co Online,56.42,debit,Utilities
Insurance Co Branch,300.45,debit,Insurance
Bookstore #9457,146.7,debit,Entertainment
Rent Payment - Order 82680 (recurring),1732.9,debit,Housing
Freelance Upwork #965,44190.87,credit,Income
YMCA In-Store,16.05,debit,Fitness
Loan EMI Bank POS 4007,98.46,debit,Loans
Auto Loan Payment POS 7292,790.64,debit,Loans
Subway #3737 (online),84.2,debit,Food & Drink
Walgreens #1848,24.82,debit,Medical
Uber #5790,30.13,debit,Transport
Housing Society - Order 93380,800.11,debit,Housing
Card Store - Order 67870,103.71,debit,Gifts
Gift Shop In-Store,60.86,debit,Gifts
Insurance Co #1266,128.62,debit,Insurance
Planet Fitness #4155,96.06,debit,Fitness
Freelance Upwork - Order 33969,45135.08,credit,Income
Walgreens #3371,3761.83,debit,Medical
Auto Loan Payment - Order 70470,378.29,debit,Loans
Uber #6152,52.7,debit,Transport
Con Edison POS 4759,126.75,debit,Utilities
McDonald's POS 5722,67.36,debit,Food & Drink
Housing Society #2765,5288.94,debit,Housing
ACME Corp Payroll #8500,40609.13,credit,Income
YMCA - Order 29392,79.0,debit,Fitness
Water Works Branch,160.31,debit,Utilities
CVS Pharmacy - Order 64138,742.05,debit,Medical
Service Charge POS 6770,115.0,debit,Other
Shell - Order 67983,63.09,debit,Fuel
Comcast - Order 92788,174.45,debit,Utilities
Insurance Co #2889,286.17,debit,Insurance
Misc Vendor POS 3971,100.42,debit,Other
Insurance Co Outlet,224.21,debit,Insurance
Metro Recharge #8224,67.32,debit,Transport
ACME Corp Payroll #5843,40710.82,credit,Income
Netflix Online,193.67,debit,Entertainment
Metro Recharge In-Store,79.27,debit,Transport
Amazon Branch,735.51,debit,Shopping
Life Insurance Payment #6006,219.03,debit,Insurance
Planet Fitness #4066,22.59,debit,Fitness
Misc Vendor Branch,96.73,debit,Other
Misc Vendor - Order 42550 (online),90.35,debit,Other
Domino's POS 8433,85.11,debit,Food & Drink
Flipkart Outlet,386.06,debit,Shopping
Shell POS 9395,27.17,debit,Fuel
Amazon Gifts POS 2364,92.81,debit,Gifts
Water Works - Order 50193,204.6,debit,Utilities
Texaco POS 7184,97.13,debit,Fuel
Misc Vendor #1720,25.25,debit,Other
Spotify POS 1077,153.43,debit,Entertainment
Big Mart - Order 96752,194.05,debit,Groceries
Aldi In-Store,124.08,debit,Groceries
Rent Payment POS 7882,966.16,debit,Housing
Movie Theater Branch,77.03,debit,Entertainment
Loan EMI Bank #6149,544.14,debit,Loans
Texaco POS 9998,84.16,debit,Fuel
Walgreens Online REFUND,511.82,credit,Medical
City Hospital - Order 37215 (promo),282.47,debit,Medical
Cafe Nero - Order 16764,54.26,debit,Food & Drink
AT&T Online,273.26,debit,Utilities
Flipkart - Order 33456,502.43,debit,Shopping
Misc Vendor #4708,26.86,debit,Other
Airbnb #4290,214.58,debit,Travel
City Hospital Outlet,502.5,debit,Medical
Service Charge Outlet,138.06,debit,Other
Walgreens POS 3389,655.45,debit,Medical
Texaco #4531,95.54,debit,Fuel
Doctor Clinic Online,317.75,debit,Medical
Misc Vendor #7176,4.77,debit,Other
Stripe Payout POS 5166,50418.82,credit,Income
Flipkart - Order 13864,1090.42,debit,Shopping
Electric Co POS 3906,187.95,debit,Utilities
Transit Card - Order 22245,58.21,debit,Transport
Delta Airlines #2195 REFUND,207.41,credit,Travel
Shell POS 9589,74.46,debit,Fuel
Uber POS 8933,49.32,debit,Transport
Whole Foods Branch,31.91,debit,Groceries
Life Insurance Payment - Order 42370,39.81,debit,Insurance
Stripe Payout POS 9586,46061.18,credit,Income
YMCA POS 2601,84.26,debit,Fitness
Transit Card Online,63.07,debit,Transport
Landlord Inc #3542,414.86,debit,Housing
Auto Loan Payment In-Store,1072.76,debit,Loans
Life Insurance Payment #4529,174.48,debit,Insurance
Comcast - Order 16366,68.62,debit,Utilities
Walgreens - Order 21820,103.22,debit,Medical
Cafe Nero POS 6188,7.2,debit,Food & Drink
Housing Society POS 5320,1994.07,debit,Housing
ACME Corp Payroll POS 4784,11772.89,credit,Income
Rent Payment #6984,521.11,debit,Housing
Electric Co - Order 52184,289.81,debit,Utilities
Domino's #852,27.89,debit,Food & Drink
Aldi #3888,185.65,debit,Groceries
Gift Shop Online,285.61,debit,Gifts
Stripe Payout POS 3675,49791.4,credit,Income
Con Edison Branch REFUND,138.27,credit,Utilities
Con Edison POS 4337,176.12,debit,Utilities
YMCA In-Store,47.25,debit,Fitness
Metro Recharge POS 2213,57.64,debit,Transport
Spotify Online,188.89,debit,Entertainment
Big Mart POS 7482,36.53,debit,Groceries
Olive Garden #8857 (recurring),88.94,debit,Food & Drink
Expedia #1883,393.54,debit,Travel
AT&T Outlet,281.94,debit,Utilities
Freelance Upwork Branch,51332.4,credit,Income
Electric Co POS 4327,275.22,debit,Utilities
Auto Loan Payment - Order 88494,121.06,debit,Loans
Landlord Inc #6168,425.34,debit,Housing
Freelance Upwork POS 5655,37775.6,credit,Income
Con Edison Outlet,287.96,debit,Utilities
Netflix - Order 54801,111.67,debit,Entertainment
YMCA - Order 31468,75.77,debit,Fitness
Olive Garden POS 9017,35.73,debit,Food & Drink
Domino's In-Store,51.06,debit,Food & Drink
Card Store - Order 51120,215.5,debit,Gifts
ACME Corp Payroll POS 7474,35371.77,credit,Income
Subway - Order 89569,82.3,debit,Food & Drink
Marriott - Order 72391,1070.02,debit,Travel
Landlord Inc - Order 13148,705.21,debit,Housing
Gym Membership #2524,73.2,debit,Fitness
YMCA POS 9837,103.98,debit,Fitness
Bookstore POS 2970,196.95,debit,Entertainment
Amazon POS 7102,106.46,debit,Shopping
Amazon Gifts - Order 13514,133.56,debit,Gifts
Gym Membership POS 7883 (recurring),12.36,debit,Fitness
Spotify POS 2809,22.57,debit,Entertainment
Auto Loan Payment #2710,104.9,debit,Loans
Amazon Gifts Branch,207.15,debit,Gifts
Auto Loan Payment POS 4077,573.46,debit,Loans
Marriott POS 8681,965.0,debit,Travel
ACME Corp Payroll - Order 42631,44388.33,credit,Income
Walgreens In-Store,266.78,debit,Medical
CVS Pharmacy #3422,227.97,debit,Medical
City Taxi POS 4986,42.87,debit,Transport
AT&T Branch,90.19,debit,Utilities
Auto Loan Payment Branch,175.82,debit,Loans
Landlord Inc #8524,1284.19,debit,Housing
Loan EMI Bank Online,606.08,debit,Loans
BP POS 7779,77.99,debit,Fuel
Airbnb In-Store,350.82,debit,Travel
Marriott POS 3314,771.36,debit,Travel
Gift Shop - Order 82833,72.81,debit,Gifts
Misc Vendor Branch,25.27,debit,Other
Housing Society Online,560.62,debit,Housing
Loan EMI Bank Online,404.92,debit,Loans
Amazon Gifts POS 3692,228.96,debit,Gifts
Gym Membership POS 4047,63.96,debit,Fitness
Bank Fee POS 3281,133.97,debit,Other
BP POS 7761,30.73,debit,Fuel
Netflix #1907,97.51,debit,Entertainment
Doctor Clinic POS 8005,488.3,debit,Medical
Loan EMI Bank POS 4438,490.25,debit,Loans
Gift Shop Online,263.54,debit,Gifts
Olive Garden Outlet,56.09,debit,Food & Drink
Transit Card Online,53.17,debit,Transport
Gym Membership #1268,28.38,debit,Fitness
Apple Store #6878,939.39,debit,Shopping
Walmart #5698,74.83,debit,Groceries
BP - Order 61897,23.62,debit,Fuel
Landlord Inc - Order 35101,1139.47,debit,Housing
Domino's Outlet,40.95,debit,Food & Drink
Doctor Clinic POS 8625,182.92,debit,Medical
Planet Fitness - Order 47274,41.38,debit,Fitness
Gift Shop Outlet,149.44,debit,Gifts
Mobil POS 5478,48.46,debit,Fuel
Insurance Co POS 4377,122.14,debit,Insurance
Netflix In-Store,14.77,debit,Entertainment
Delta Airlines #630,1925.39,debit,Travel
Service Charge POS 3031,128.99,debit,Other
Walgreens POS 2505,177.86,debit,Medical
Service Charge Online,19.34,debit,Other
Delta Airlines Branch,58.91,debit,Travel
Gift Shop #8700,293.66,debit,Gifts
Amazon - Order 42819,752.6,debit,Shopping
Uber - Order 61807,18.48,debit,Transport
ACME Corp Payroll POS 6690,44124.74,credit,Income
Rent Payment #7449,1311.8,debit,Housing
Doctor Clinic #9380,662.47,debit,Medical
Water Works #1762,130.01,debit,Utilities
Loan EMI Bank POS 7233,262.42,debit,Loans
Walmart Online,182.52,debit,Groceries
Misc Vendor #5162,134.58,debit,Other
Life Insurance Payment POS 5081,89.58,debit,Insurance
Amazon #9374,966.18,debit,Shopping
Water Works POS 6432,120.45,debit,Utilities
Apple Store #7275,555.89,debit,Shopping
Spotify POS 7738,56.01,debit,Entertainment
Domino's #1214,76.05,debit,Food & Drink
Card Store #9519,41.07,debit,Gifts
Walgreens In-Store,719.42,debit,Medical
Bank Fee - Order 11859,48.14,debit,Other
Target Online,988.82,debit,Shopping
Marriott - Order 32972,515.33,debit,Travel
Spotify #5874,182.52,debit,Entertainment
Apple Store - Order 31871,1011.17,debit,Shopping
Card Store Branch,163.54,debit,Gifts
Whole Foods POS 9280,182.55,debit,Groceries
Loan EMI Bank Online,498.65,debit,Loans
Life Insurance Payment #4981 (recurring),37.33,debit,Insurance
Freelance Upwork Branch,42178.12,credit,Income
AMC POS 8035 REFUND,98.09,credit,Entertainment
Stripe Payout In-Store,46672.99,credit,Income
Airbnb POS 3359,1951.2,debit,Travel
Spotify #5394,71.83,debit,Entertainment
Walmart - Order 70068,35.17,debit,Groceries
Insurance Co POS 8116,204.65,debit,Insurance
Amazon POS 2551,953.6,debit,Shopping
ExxonMobil - Order 20084,87.96,debit,Fuel
Auto Loan Payment - Order 99592,614.29,debit,Loans
Water Works - Order 38752,163.03,debit,Utilities
CVS Pharmacy - Order 64246,664.42,debit,Medical
Mobil Branch,65.13,debit,Fuel
Subway - Order 46655,87.25,debit,Food & Drink
Housing Society Branch,1181.1,debit,Housing
Water Works Online,65.06,debit,Utilities
AT&T Branch,79.74,debit,Utilities
Bank Fee #6253,119.27,debit,Other
Card Store Online,289.69,debit,Gifts
Loan EMI Bank POS 4182,628.45,debit,Loans
YMCA POS 6917,115.07,debit,Fitness
Amazon POS 7290,592.61,debit,Shopping
Walgreens POS 6168,427.59,debit,Medical
Amazon Gifts POS 3427,39.36,debit,Gifts
ACME Corp Payroll POS 6328,28298.01,credit,Income
Movie Theater #1490,116.59,debit,Entertainment
ACME Corp Payroll In-Store,48343.21,credit,Income
Movie Theater #985,172.83,debit,Entertainment
Walgreens In-Store,2231.65,debit,Medical
Amazon In-Store,762.98,debit,Shopping
Whole Foods #3933,165.04,debit,Groceries
AMC #9393,171.52,debit,Entertainment
Auto Loan Payment #5625,548.75,debit,Loans
Service Charge - Order 99505,91.42,debit,Other
CVS Pharmacy POS 2393,620.19,debit,Medical
Loan EMI Bank POS 7616 REFUND,618.35,credit,Loans
Planet Fitness #2215,12.94,debit,Fitness
Texaco #5198,55.58,debit,Fuel
Transit Card Online,28.45,debit,Transport
Amazon Gifts - Order 26207,58.29,debit,Gifts
Uber In-Store,8.25,debit,Transport
BP - Order 74044,48.17,debit,Fuel
ACME Corp Payroll POS 1448,7417.96,credit,Income
Service Charge Outlet,64.13,debit,Other
Amazon Gifts - Order 44314 (recurring),206.86,debit,Gifts
Misc Vendor #398,23.58,debit,Other
Card Store POS 6910,30.85,debit,Gifts
Subway - Order 59131,69.21,debit,Food & Drink
Misc Vendor #7812,142.33,debit,Other
Texaco #2302,87.09,debit,Fuel
Loan EMI Bank Online,358.15,debit,Loans
Water Works Branch,154.99,debit,Utilities
Metro Recharge #1039,46.85,debit,Transport
Whole Foods POS 4501,192.37,debit,Groceries
Amazon Gifts POS 6233,221.88,debit,Gifts
Movie Theater In-Store,29.95,debit,Entertainment
Netflix - Order 58819,97.54,debit,Entertainment
BestBuy Branch,211.46,debit,Shopping
AT&T #1652 REFUND,290.08,credit,Utilities
Subway POS 3068,4.44,debit,Food & Drink
Gym Membership Outlet,54.22,debit,Fitness
CVS Pharmacy Branch (promo),259.99,debit,Medical
Airbnb POS 4898,376.2,debit,Travel
Stripe Payout POS 5150,38491.94,credit,Income
Lyft Branch,56.91,debit,Transport
BP POS 9401,84.23,debit,Fuel
BestBuy #2887,1143.85,debit,Shopping
McDonald's POS 4826,90.13,debit,Food & Drink
Metro Recharge Branch,42.5,debit,Transport
Rent Payment Outlet,1977.82,debit,Housing
Freelance Upwork #5286,3104.75,credit,Income
YMCA #5661,107.66,debit,Fitness
Expedia In-Store,796.46,debit,Travel
Auto Loan Payment - Order 64636,189.8,debit,Loans
BP - Order 85511,31.46,debit,Fuel
Life Insurance Payment #9941,91.47,debit,Insurance
Card Store Outlet,145.08,debit,Gifts
Loan EMI Bank - Order 71220,182.33,debit,Loans
Insurance Co Online,200.2,debit,Insurance
Misc Vendor - Order 24201,10.61,debit,Other
Rent Payment POS 9076,757.79,debit,Housing
Airbnb #9409,1480.28,debit,Travel
Stripe Payout POS 8480,31645.86,credit,Income
Bank Fee - Order 60413 REFUND,36.04,credit,Other
Whole Foods Outlet,66.17,debit,Groceries
Flipkart - Order 87580,316.88,debit,Shopping
Water Works - Order 41938,163.54,debit,Utilities
Marriott - Order 67747,397.96,debit,Travel
Olive Garden #1635 (vip),23.34,debit,Food & Drink
Insurance Co - Order 32380,301.69,debit,Insurance
Netflix Online,141.64,debit,Entertainment
Insurance Co - Order 26232,115.05,debit,Insurance
Planet Fitness - Order 63383,108.42,debit,Fitness
Gym Membership POS 6952,79.9,debit,Fitness
AT&T Online,146.32,debit,Utilities
Amazon #3529,646.58,debit,Shopping
Doctor Clinic POS 8434 REFUND,482.97,credit,Medical
Walgreens - Order 51275,370.99,debit,Medical
Gym Membership POS 6346,86.65,debit,Fitness
City Taxi #1190,8.07,debit,Transport
Big Mart - Order 17492,106.49,debit,Groceries
Kroger - Order 14165,124.38,debit,Groceries
Movie Theater Branch,164.39,debit,Entertainment
Insurance Co Branch,148.42,debit,Insurance
Freelance Upwork #5924,24999.77,credit,Income
Whole Foods #4562,28.38,debit,Groceries
Life Insurance Payment #3451,302.18,debit,Insurance
Mobil - Order 93647 (vip),48.4,debit,Fuel
Whole Foods Outlet,137.62,debit,Groceries
McDonald's #7623,41.03,debit,Food & Drink
YMCA POS 1517,23.1,debit,Fitness
Lyft - Order 15726,49.63,debit,Transport
Marriott Online,972.66,debit,Travel
Big Mart POS 1993,162.11,debit,Groceries
AT&T In-Store,72.33,debit,Utilities
Big Mart In-Store,22.58,debit,Groceries
CVS Pharmacy In-Store,2922.16,debit,Medical
Walmart - Order 29536,17.95,debit,Groceries
Comcast - Order 90482,70.16,debit,Utilities
YMCA Branch,43.52,debit,Fitness
Life Insurance Payment - Order 35571,320.69,debit,Insurance
Cafe Nero #9985,13.91,debit,Food & Drink
Landlord Inc POS 5998,1676.13,debit,Housing
BestBuy #8219,647.5,debit,Shopping
Bank Fee In-Store,28.1,debit,Other
Loan EMI Bank POS 4325,55.58,debit,Loans
Target - Order 89988,977.17,debit,Shopping
Planet Fitness Online,90.98,debit,Fitness
Gym Membership #9032,108.62,debit,Fitness
Life Insurance Payment POS 3253,130.61,debit,Insurance
Delta Airlines POS 5859,1411.21,debit,Travel
Bookstore #6630,199.51,debit,Entertainment
Apple Store In-Store,1150.36,debit,Shopping
Loan EMI Bank POS 2645,196.31,debit,Loans
Big Mart - Order 95426,13.87,debit,Groceries
City Taxi #9095,23.28,debit,Transport
Life Insurance Payment Online,226.88,debit,Insurance
Con Edison POS 7171,202.93,debit,Utilities
Water Works #1948,40.33,debit,Utilities
Housing Society #4598,1644.7,debit,Housing
BP POS 2531 (recurring),64.22,debit,Fuel
Auto Loan Payment POS 6209,63.24,debit,Loans
Planet Fitness #3037,92.08,debit,Fitness
Kroger Branch,167.84,debit,Groceries
Target POS 4084,214.79,debit,Shopping
Water Works POS 4765,50.4,debit,Utilities
Walgreens Outlet,538.54,debit,Medical
Movie Theater #240,53.52,debit,Entertainment
Amazon POS 2425,145.28,debit,Shopping
Flipkart Outlet,4190.56,debit,Shopping
CVS Pharmacy - Order 24833 REFUND,262.15,credit,Medical
Amazon Gifts #8537,97.11,debit,Gifts
Lyft Online,30.71,debit,Transport
Card Store - Order 53610,154.37,debit,Gifts
Gym Membership Outlet,11.42,debit,Fitness
Airbnb #8528 REFUND,1671.79,credit,Travel
Mobil - Order 27589,46.45,debit,Fuel
Life Insurance Payment POS 5480,101.97,debit,Insurance
Uber - Order 48038,72.38,debit,Transport
Stripe Payout - Order 75404,52428.18,credit,Income
Uber #1489,65.17,debit,Transport
Domino's Online,105.28,debit,Food & Drink
Amazon - Order 63948,163.57,debit,Shopping
Mobil #4707,61.95,debit,Fuel
Auto Loan Payment Outlet,225.17,debit,Loans
Movie Theater Outlet,63.92,debit,Entertainment
Loan EMI Bank Branch,483.76,debit,Loans
Stripe Payout POS 6167,53938.21,credit,Income
Uber - Order 83259,66.66,debit,Transport
Trader Joe's POS 2341,594.69,debit,Groceries
Stripe Payout Outlet,25067.78,credit,Income
Rent Payment POS 6822,1355.45,debit,Housing
McDonald's POS 6061,45.69,debit,Food & Drink
Trader Joe's POS 4185 (online),56.36,debit,Groceries
Electric Co #9839 REFUND,204.49,credit,Utilities
Card Store POS 1095,55.66,debit,Gifts
Auto Loan Payment - Order 17563,75.88,debit,Loans
Loan EMI Bank Branch,128.92,debit,Loans
Insurance Co POS 8858,399.22,debit,Insurance
Comcast #6619,241.7,debit,Utilities
BestBuy - Order 70807,658.14,debit,Shopping
YMCA - Order 63773,39.36,debit,Fitness
Aldi Branch,125.25,debit,Groceries
Marriott #7627,1279.79,debit,Travel
Misc Vendor #5947,53.05,debit,Other
McDonald's Branch,118.83,debit,Food & Drink
Amazon Gifts POS 2457,211.87,debit,Gifts
Expedia Branch,1776.17,debit,Travel
Planet Fitness In-Store,116.72,debit,Fitness
CVS Pharmacy Online,220.49,debit,Medical
Bank Fee Outlet,102.65,debit,Other
Amazon Gifts POS 5073 (online),19.08,debit,Gifts
Rent Payment - Order 65550,828.37,debit,Housing
Planet Fitness POS 2369,115.34,debit,Fitness
CVS Pharmacy POS 6536,638.82,debit,Medical
Bank Fee POS 2841,17.41,debit,Other
Transit Card Outlet,54.91,debit,Transport
Big Mart In-Store,41.88,debit,Groceries
Mobil POS 1440,36.77,debit,Fuel
Gift Shop - Order 67424,207.07,debit,Gifts
Landlord Inc #8826,1687.3,debit,Housing
Bank Fee #6195,28.37,debit,Other
ACME Corp Payroll - Order 62947,24724.51,credit,Income
Gym Membership #9860,13.05,debit,Fitness
Auto Loan Payment POS 7249,619.14,debit,Loans
Con Edison Online,236.63,debit,Utilities
Amazon Gifts - Order 15390,279.45,debit,Gifts
Auto Loan Payment #4603,742.05,debit,Loans
Doctor Clinic - Order 18509,688.23,debit,Medical
Netflix #6157,14.35,debit,Entertainment
Delta Airlines - Order 95037,1814.09,debit,Travel
Airbnb Branch REFUND,1747.04,credit,Travel
Planet Fitness - Order 57636,72.81,debit,Fitness
Big Mart POS 3677,198.01,debit,Groceries
BP #772 REFUND,88.03,credit,Fuel
City Taxi POS 5911,30.73,debit,Transport
Amazon Gifts #5957,272.04,debit,Gifts
Shell POS 7566,83.26,debit,Fuel
AMC POS 5923,67.57,debit,Entertainment
City Taxi #3640,17.12,debit,Transport
Expedia #317,569.55,debit,Travel
City Taxi POS 9433 REFUND,26.07,credit,Transport
Doctor Clinic POS 4638,318.49,debit,Medical
Auto Loan Payment #5640,883.68,debit,Loans
CVS Pharmacy Branch,192.74,debit,Medical
Life Insurance Payment POS 6528,396.32,debit,Insurance
AMC - Order 83183,96.51,debit,Entertainment
Con Edison In-Store,272.03,debit,Utilities
City Taxi - Order 96127,44.59,debit,Transport
Domino's #9141,17.46,debit,Food & Drink
Card Store Online,133.69,debit,Gifts
Airbnb Outlet,266.38,debit,Travel
Auto Loan Payment - Order 71506,3513.03,debit,Loans
Life Insurance Payment POS 3711,165.98,debit,Insurance
Shell #8199,92.1,debit,Fuel
Amazon POS 7878,1167.21,debit,Shopping
Walmart #9648,129.91,debit,Groceries
Trader Joe's - Order 33053,33.06,debit,Groceries
Service Charge POS 3059,87.18,debit,Other
Stripe Payout In-Store,1396.53,credit,Income
Amazon Outlet,252.21,debit,Shopping
Freelance Upwork POS 7090,45968.97,credit,Income
Big Mart In-Store,11.23,debit,Groceries
Walgreens POS 1840,585.48,debit,Medical
Expedia #8161,605.88,debit,Travel
Auto Loan Payment - Order 69183,464.68,debit,Loans
Delta Airlines In-Store,1176.97,debit,Travel
Service Charge #1605,68.77,debit,Other
Loan EMI Bank - Order 22521,168.45,debit,Loans
Metro Recharge POS 2761,22.63,debit,Transport
Landlord Inc - Order 30214,1933.91,debit,Housing
Netflix Outlet,95.52,debit,Entertainment
Water Works POS 3871,76.48,debit,Utilities
ACME Corp Payroll Online,38852.21,credit,Income
Housing Society - Order 72368,767.44,debit,Housing
Bank Fee Outlet,99.14,debit,Other
ACME Corp Payroll Online,37277.08,credit,Income
Netflix POS 7671,174.1,debit,Entertainment
Marriott - Order 48687,1721.1,debit,Travel
Metro Recharge #9429,55.05,debit,Transport
Landlord Inc #4265,1900.28,debit,Housing
AMC POS 3664,169.92,debit,Entertainment
Rent Payment Online,982.86,debit,Housing
Airbnb #4829,6128.27,debit,Travel
Amazon - Order 85457,713.06,debit,Shopping
Stripe Payout POS 6303,16881.81,credit,Income
CVS Pharmacy - Order 86415,164.55,debit,Medical
Shell POS 6139,75.24,debit,Fuel
Cafe Nero POS 4263,15.48,debit,Food & Drink
Walmart #7537,167.59,debit,Groceries
Walgreens - Order 73369,83.11,debit,Medical
Amazon #7630,14.52,debit,Shopping
Service Charge #1690,4.58,debit,Other
Texaco POS 1911,53.23,debit,Fuel
Housing Society #8371,972.02,debit,Housing
YMCA POS 2723,82.44,debit,Fitness
Insurance Co #1280,174.58,debit,Insurance
Service Charge Outlet,325.39,debit,Other
Service Charge #1635,62.28,debit,Other
Delta Airlines #9781,1643.22,debit,Travel
Card Store POS 7395,203.57,debit,Gifts
Con Edison #8436,202.43,debit,Utilities
AT&T - Order 20744,268.17,debit,Utilities
YMCA Outlet,74.95,debit,Fitness
Delta Airlines POS 3745,637.67,debit,Travel
Bank Fee Branch,146.81,debit,Other
Doctor Clinic - Order 33580,564.43,debit,Medical
Landlord Inc - Order 45171,645.1,debit,Housing
Mobil Online,234.1,debit,Fuel
Flipkart POS 4568,596.18,debit,Shopping
Big Mart POS 2771,173.13,debit,Groceries
Amazon Gifts #7200,28.63,debit,Gifts
Loan EMI Bank #6386 (recurring),258.84,debit,Loans
Misc Vendor #4599,106.89,debit,Other
Gift Shop Branch,169.31,debit,Gifts
Flipkart #7422,142.53,debit,Shopping
Big Mart #330,66.74,debit,Groceries
McDonald's Online,89.78,debit,Food & Drink
Auto Loan Payment POS 6623,607.23,debit,Loans
City Hospital #7568,723.42,debit,Medical
Landlord Inc Outlet,575.88,debit,Housing
Walgreens #3435,552.48,debit,Medical
Amazon - Order 74865,714.75,debit,Shopping
Transit Card #7501,40.6,debit,Transport
Landlord Inc - Order 73691,1016.99,debit,Housing
Shell Branch,84.37,debit,Fuel
Life Insurance Payment #7822,291.02,debit,Insurance
ExxonMobil - Order 14888,22.91,debit,Fuel
Electric Co #6705 REFUND,52.99,credit,Utilities
Comcast POS 6876,263.05,debit,Utilities
Housing Society Online REFUND,1801.27,credit,Housing
Subway In-Store,109.88,debit,Food & Drink
Comcast POS 2442,53.24,debit,Utilities
Target - Order 67684,741.21,debit,Shopping
Freelance Upwork Online,23926.16,credit,Income
Trader Joe's In-Store,50.22,debit,Groceries
Spotify #1085,175.66,debit,Entertainment
CVS Pharmacy In-Store,527.26,debit,Medical
Rent Payment #6193,1051.26,debit,Housing
CVS Pharmacy In-Store,500.32,debit,Medical
Con Edison POS 8170,205.0,debit,Utilities
Transit Card #9089 (online),78.52,debit,Transport
Housing Society In-Store,627.34,debit,Housing
ACME Corp Payroll Outlet,57815.62,credit,Income
AMC - Order 39939,119.99,debit,Entertainment
Subway Outlet,100.98,debit,Food & Drink
Walgreens #4634,572.85,debit,Medical
